date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:10:35	77160/77160	---M--	200	added ('OK')	font/woff2	date:Wed,%2010%20May%202017%2023:19:48%20GMT	http://sacheefragrances.com/wp-content/plugins/easy-social-icons/css/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-content/plugins/easy-social-icons/css/font-awesome/fonts/fontawesome-webfont3e6e.woff2	(from http://sacheefragrances.com/wp-content/plugins/easy-social-icons/css/font-awesome/css/font-awesome.min.css?ver=4.7)
14:10:40	444379/444379	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2010%20May%202017%2023:19:48%20GMT	http://sacheefragrances.com/wp-content/plugins/easy-social-icons/css/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-content/plugins/easy-social-icons/css/font-awesome/fonts/fontawesome-webfont3e6e.svg	(from http://sacheefragrances.com/wp-content/plugins/easy-social-icons/css/font-awesome/css/font-awesome.min.css?ver=4.7)
14:10:52	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2010%20May%202017%2023:19:48%20GMT	http://sacheefragrances.com/wp-content/plugins/easy-social-icons/css/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-content/plugins/easy-social-icons/css/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from http://sacheefragrances.com/wp-content/plugins/easy-social-icons/css/font-awesome/css/font-awesome.min.css?ver=4.7)
14:10:53	18060/18060	---M--	200	added ('OK')	font/ttf	date:Wed,%2010%20May%202017%2023:20:02%20GMT	http://sacheefragrances.com/wp-content/themes/sacheefragranees/genericons/font/genericons-regular-webfont.ttf	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-content/themes/sacheefragranees/genericons/font/genericons-regular-webfont.ttf	(from http://sacheefragrances.com/wp-content/themes/sacheefragranees/genericons/genericons.css?ver=3.0.2)
14:10:53	40180/40180	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2010%20May%202017%2023:20:02%20GMT	http://sacheefragrances.com/wp-content/themes/sacheefragranees/genericons/font/genericons-regular-webfont.svg	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-content/themes/sacheefragranees/genericons/font/genericons-regular-webfont.svg	(from http://sacheefragrances.com/wp-content/themes/sacheefragranees/genericons/genericons.css?ver=3.0.2)
14:10:55	26294/26294	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2011%20Aug%202018%2008:41:01%20GMT	http://sacheefragrances.com/wp-content/themes/sacheefragranees/images/bg-search.png	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-content/themes/sacheefragranees/images/bg-search.png	(from http://sacheefragrances.com/wp-content/themes/sacheefragranees/style.css?ver=4.7.11)
14:10:57	538703/538703	---M--	200	added ('OK')	image/png	date:Wed,%2010%20May%202017%2023:20:00%20GMT	http://sacheefragrances.com/wp-content/uploads/2016/01/12.png	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-content/uploads/2016/01/12.png	(from http://sacheefragrances.com/)
14:10:59	26294/26294	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2011%20Aug%202018%2008:41:03%20GMT	http://sacheefragrances.com/wp-content/themes/sacheefragranees/images/pattern-dark.svg	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-content/themes/sacheefragranees/images/pattern-dark.svg	(from http://sacheefragrances.com/wp-content/themes/sacheefragranees/style.css?ver=4.7.11)
14:10:59	43124/43124	---M--	200	added ('OK')	font/ttf	date:Wed,%2010%20May%202017%2023:20:02%20GMT	http://sacheefragrances.com/wp-content/themes/sacheefragranees/OPTIMA_B.TTF	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-content/themes/sacheefragranees/OPTIMA_B.TTF	(from http://sacheefragrances.com/wp-content/themes/sacheefragranees/style.css?ver=4.7.11)
14:11:01	203/203	---M--	200	added ('OK')	image/png	date:Wed,%2010%20May%202017%2023:19:50%20GMT	http://sacheefragrances.com/wp-content/plugins/easy-fancybox/fancybox/fancybox-x.png	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-content/plugins/easy-fancybox/fancybox/fancybox-x.png	(from http://sacheefragrances.com/wp-content/plugins/easy-fancybox/fancybox/jquery.fancybox-1.3.8.min.css?ver=1.5.8.2)
