HTTrack3.49-2+htsswf+htsjava launched on Sat, 11 Aug 2018 14:05:44 at http://sacheefragrances.com/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qwC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" http://sacheefragrances.com/ -O1 "C:\Users\AJAY KUMAR\Google Drive\Camera Uploads\Website Creating Lang\sacheefragrances" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

14:14:28	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/wp-content/uploads/2014/08/4-150x150.png (from sacheefragrances.com/fragrances/)
14:14:28	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/wp-content/uploads/2014/08/5.png (from sacheefragrances.com/fragrances/)
14:14:30	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/wp-content/uploads/2014/08/6-150x150.png (from sacheefragrances.com/fragrances/)
14:14:30	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/wp-content/uploads/2014/08/7-150x150.png (from sacheefragrances.com/fragrances/)
14:14:38	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/wp-content/uploads/2014/08/8-150x150.png (from sacheefragrances.com/fragrances/)
14:14:38	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/wp-content/uploads/2014/08/9-150x150.png (from sacheefragrances.com/fragrances/)
14:14:41	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/wp-content/uploads/2014/08/flowers_sweets_021.jpg (from sacheefragrances.com/flavors/)
14:14:41	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/wp-content/uploads/2014/08/flowers_sweets_02.jpg (from sacheefragrances.com/flavors/)
14:14:47	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/sachee-naturals/ (from sacheefragrances.com/essential-oils/?p=135)
14:14:48	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsacheefragrances.com%2Fcontact-us%2Fenquiry%2F (from sacheefragrances.com/contact-us/enquiry/)
14:14:51	Warning: 	Moved Permanently for sacheefragrances.com/?p=12
14:14:51	Warning: 	File has moved from sacheefragrances.com/?p=12 to http://sacheefragrances.com/infrastructure/
14:15:30	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/wp-content/uploads/2014/08/121.jpg (from sacheefragrances.com/infrastructure/)
14:15:30	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/wp-content/uploads/2014/08/13N9557a1.jpg (from sacheefragrances.com/infrastructure/)
14:15:30	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/wp-content/uploads/2014/08/4-150x150.png (from sacheefragrances.com/fragrances/)
14:15:30	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/wp-content/uploads/2014/08/6-150x150.png (from sacheefragrances.com/fragrances/)
14:15:40	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/wp-content/uploads/2014/08/8-150x150.png (from sacheefragrances.com/fragrances/)
14:15:40	Error: 	"No data (connection closed)" (-4) after 2 retries at link sacheefragrances.com/wp-content/uploads/2014/08/flowers_sweets_021.jpg (from sacheefragrances.com/flavors/)
14:15:40	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/sachee-naturals/ (from sacheefragrances.com/essential-oils/?p=135)
14:15:59	Error: 	"No data (connection closed)" (-4) after 2 retries at link sacheefragrances.com/wp-content/uploads/2014/08/8-150x150.png (from sacheefragrances.com/fragrances/)
14:15:59	Error: 	"No data (connection closed)" (-4) after 2 retries at link sacheefragrances.com/sachee-naturals/ (from sacheefragrances.com/essential-oils/?p=135)

HTTrack Website Copier/3.49-2 mirror complete in 10 minutes 15 seconds : 229 links scanned, 170 files written (14969293 bytes overall) [14430755 bytes received at 23464 bytes/sec], 924876 bytes transferred using HTTP compression in 36 files, ratio 25%, 2.8 requests per connection
(7 errors, 63 warnings, 0 messages)
